	1	2	3
KhoeSan	0.473228	0.392869	0.13393
Ga-Adangbe	0.404371585	0.407103825	0.18852459
Luo	0.5	0.45	0.05
Nandi	0.416664	0.518745	0.064581
Nyanza	0.541891	0.378526	0.079614
Shona	0.463709	0.484503	0.051799
Filipino	0.185859	0.575079	0.23905
Han_S	0.1817	0.6338	0.181
J_Hondo	0.308586	0.529459	0.16193
J_Ryukyu	0.508711	0.372015	0.119283
Javan	0.183672	0.66326	0.15306
Korean	0.285485	0.579031	0.135485
Malay	0.178569	0.629737	0.191689
Thai	0.199785	0.567841	0.23239
European	0.40574	0.486394	0.107836
Tuvan	0.261092	0.595975	0.142917
Samoan	0.44	0.54	0.02
Australian	0.426256	0.446397	0.127331
NaDene	0.4875	0.3875	0.125
Yupik	0.219662	0.65067	0.129664
Guarani	0.845347	0.152057	0.002577
Yucpa	0.796054	0.194781	0.009167
N_Indian	0.264152	0.500002	0.23585
Georgian	0.387753	0.5102	0.10204
Finnish	0.498417	0.44067	0.060916
Maori	0.413049	0.543483	0.04348
